Date,note_moyenne,nombre_avis
1999-10-01,5.0,2.0
1999-11-01,5.0,0.0
1999-12-01,5.0,4.0
2000-01-01,3.5,8.0
2000-02-01,4.0,3.0
2000-03-01,4.25,0.0
2000-04-01,4.5,0.0
2000-05-01,4.75,0.0
2000-06-01,5.0,5.0
2000-07-01,5.0,1.0
2000-08-01,5.0,5.0
2000-09-01,5.0,0.0
2000-10-01,5.0,3.0
2000-11-01,5.0,0.0
2000-12-01,5.0,7.0
2001-01-01,5.0,0.0
2001-02-01,5.0,1.0
2001-03-01,4.333333333333333,0.0
2001-04-01,3.666666666666667,0.0
2001-05-01,3.0,1.0
2001-06-01,2.0,1.0
2001-07-01,1.5,0.0
2001-08-01,1.0,3.0
2001-09-01,5.0,3.0
2001-10-01,4.333333333333333,3.0
2001-11-01,4.666666666666666,0.0
2001-12-01,5.0,1.0
2002-01-01,5.0,3.0
2002-02-01,4.4,15.0
2002-03-01,5.0,6.0
2002-04-01,5.0,1.0
2002-05-01,5.0,2.0
2002-06-01,4.666666666666667,9.0
2002-07-01,5.0,4.0
2002-08-01,5.0,1.0
2002-09-01,5.0,1.0
2002-10-01,5.0,4.0
2002-11-01,5.0,21.0
2002-12-01,3.5,6.0
2003-01-01,5.0,4.0
2003-02-01,5.0,3.0
2003-03-01,4.380952380952381,0.0
2003-04-01,3.761904761904762,0.0
2003-05-01,3.142857142857143,7.0
2003-06-01,2.5714285714285716,7.0
2003-07-01,4.0,2.0
2003-08-01,3.0,0.0
2003-09-01,2.0,1.0
2003-10-01,4.2727272727272725,22.0
2003-11-01,4.509433962264151,53.0
2003-12-01,4.636363636363637,33.0
2004-01-01,4.595744680851064,47.0
2004-02-01,4.666666666666667,15.0
2004-03-01,4.764705882352941,17.0
2004-04-01,4.72093023255814,43.0
2004-05-01,3.0701754385964914,57.0
2004-06-01,4.35,40.0
2004-07-01,4.269230769230769,78.0
2004-08-01,4.927272727272728,55.0
2004-09-01,4.5,34.0
2004-10-01,4.690476190476191,42.0
2004-11-01,4.509803921568627,51.0
2004-12-01,4.402439024390244,82.0
2005-01-01,4.716049382716049,81.0
2005-02-01,4.447058823529412,85.0
2005-03-01,4.524590163934426,61.0
2005-04-01,4.564516129032258,62.0
2005-05-01,4.454545454545454,55.0
2005-06-01,4.350877192982456,57.0
2005-07-01,4.552631578947368,114.0
2005-08-01,4.5344827586206895,116.0
